formation.name;Period;Age;AlphaForm;BetaSimForm;BetaWForm;GammaForm;CollpF;Duration;RefForm;Environments;Htaxa;maxGCD;medianGCD;madGCD
Geneseo;Devonian;385.9;6.5715;0.849140609;9.17354102;50.024;203;0;7;3;3;452.4277335;138.3072214;86.66938625
Gerster;Permian;262;6.0801;0.791351373;5.926156018;29.742;131;0;1;1;2;222.6477431;111.3238716;42.85678665
Glen Aubrey;Devonian;379.9;6.754;0.846636234;6.349690669;36.158;63;0;1;2;2;111.3238716;55.66193578;82.52438599
Glen Dean Limestone;Carboniferous;322.4741379;8.9589;0.815548762;7.53403838;59.404;29;6.5;2;2;2;283.4506478;126.342172;56.37851136
Gnishik;Permian;266.5;6.0854;0.892412763;12.07614582;60.786;29;0;5;2;4;140.6101347;86.51446231;80.20224385
Golconda;Carboniferous;327.1107143;6.7699;0.833324235;8.595610304;49.682;28;1.7;2;1;4;239.3016982;126.342172;89.74175356
Goodwin;Ordovician;482.2891304;3.8767;0.93010101;15.53484466;44.416;23;8.25;4;1;3;345.4450902;142.1008733;90.33446976
Gosport;Paleogene;38.8;36.2386;0.676767242;6.527279155;232.016;28;0;7;2;2;521.8284221;111.3238716;165.0485727
Graham;Carboniferous;299.2;9.2445;0.831989329;6.906952466;56.226;46;0;2;1;3;241.8322946;111.3238716;107.954411
Greenhorn;Cretaceous;95.67234043;2.5599;0.883846801;12.56706638;19.456;47;5.2;4;3;3;1035.245533;473.0474452;292.9603494
Grenola;Permian;296.95;3.9434;0.932019767;15.64243312;45.588;76;0;3;3;2;345.1410582;140.6101347;80.20224385
Gres verts helvetiques;Cretaceous;109.7088462;5.1605;0.90396447;15.11007542;61.44;52;21.455;1;3;3;135.1461528;94.32771144;43.90272923
Guinea Corn;Cretaceous;68.40661905;3.7194;0.88782802;11.79348722;32.164;84;7.15;7;2;2;0;0;0
Gun River;Silurian;437.7125;2.5618;0.899596846;13.58191207;21.304;48;3.9;6;2;2;342.0121221;157.6073209;198.5733546
Gurabo;Neogene;5.692514706;20.5827;0.86999096;10.41687673;202.322;136;3.5;12;4;2;237.569616;111.3238716;61.76808346
Gymnocodiacean limestone;Permian;270.25;4.3429;0.791935537;6.055967197;20.12;29;0;2;1;2;0;0;0
Hanifa;Jurassic;158.45;6.5905;0.912689331;13.96845531;77.06;36;0;2;3;3;489.5218678;151.5607113;137.6994574
Hatchetigbee Bluff;Paleogene;52.2;15.5998;0.883076235;10.34746536;149.88;66;0;6;2;1;395.6307846;146.2946031;109.3722492
Henryhouse;Silurian;419.2516667;20.6886;0.752055423;5.460906954;108.288;30;4.75;3;2;4;144.2551536;91.19079618;78.67321635
Heshan;Permian;255.2657895;9.4025;0.928513256;15.23065807;126.606;38;3.35;12;3;3;333.9716147;150.5134884;223.1511569
Hierlatz;Jurassic;188.690625;16.2085;0.887426391;8.742526405;132.234;48;6.75;7;3;2;320.7266414;134.3454917;199.1804851
High Tor Limestone;Carboniferous;343.9;3.657;0.779525019;4.787243199;12.64;35;0;1;2;2;68.53727883;34.26863941;50.80668479
Hilo;Cretaceous;105.09;2.4009;0.949601596;20.60966472;28.72;30;8.3;1;1;1;9.50E-05;9.50E-05;0
Hinoshima;Cretaceous;82.77142857;3.6407;0.866886374;8.631229094;22.598;56;7.6;2;2;1;0;0;0
